Name,Mean (ps),2*Stdev (ps),Allocated,Copied,Peak Memory
All.3D.perlin3.pingPong: Vector Double[seed=1337] x1000000,517524815800,5158767136,8001492,11570,196083712
All.3D.value3.Vector Float[seed=1337] x1000000,21732798975,402123620,4000163,4840,196083712
All.3D.value3.Vector Double[seed=1337] x1000000,29999860000,378415932,8000163,9492,196083712
All.3D.value3.fractal: Vector Float[seed=1337] x1000000,294006161000,2247111916,4000436,5480,196083712
All.3D.value3.fractal: Vector Double[seed=1337] x1000000,312729887800,4227163974,8000921,11365,196083712
All.3D.value3.ridged: Vector Float[seed=1337] x1000000,303120703200,5720713380,3200544,5180,196083712
All.3D.value3.ridged: Vector Double[seed=1337] x1000000,321758430200,3486125680,8000980,11416,196083712
All.3D.value3.billow: Vector Float[seed=1337] x1000000,303373867400,4853407010,3200544,5174,196083712
All.3D.value3.billow: Vector Double[seed=1337] x1000000,323570916000,3453615934,8001368,11464,196083712
All.3D.value3.pingPong: Vector Float[seed=1337] x1000000,344436331850,6502952122,4001081,1023713,196083712
All.3D.value3.pingPong: Vector Double[seed=1337] x1000000,360455811237,2510621794,8001028,9526,196083712
All.3D.valueCubic3.Vector Float[seed=1337] x1000000,105469425600,1830054828,4000436,5448,196083712
All.3D.valueCubic3.Vector Double[seed=1337] x1000000,111180503750,1196041456,8000163,9412,196083712
All.3D.valueCubic3.fractal: Vector Float[seed=1337] x1000000,1054959995350,18976459314,4001081,1041653,196083712
All.3D.valueCubic3.fractal: Vector Double[seed=1337] x1000000,1037270326600,20586673778,8002947,11447,196083712
All.3D.valueCubic3.ridged: Vector Float[seed=1337] x1000000,1047102982600,9060038514,4001733,1053020,196083712
All.3D.valueCubic3.ridged: Vector Double[seed=1337] x1000000,1045828306625,6476360018,8000948,9565,196083712
All.3D.valueCubic3.billow: Vector Float[seed=1337] x1000000,1055687179700,8509007190,4001081,1060112,196083712
All.3D.valueCubic3.billow: Vector Double[seed=1337] x1000000,1044731629800,16414355184,8001396,11409,196083712
All.3D.valueCubic3.pingPong: Vector Float[seed=1337] x1000000,1085932240400,6411225930,4001259,1068977,196083712
All.3D.valueCubic3.pingPong: Vector Double[seed=1337] x1000000,1091500481300,1476900090,8001469,10166,196083712
